ZOE,"АТ ""Запоріжжяобленерго"" телеграм канал"
06 ГРУДНЯ ПО ЗАПОРІЗЬКІЙ ОБЛАСТІ ДІЯТИМУТЬ ГПВ,06 ГРУДНЯ ПО ЗАПОРІЗЬКІЙ ОБЛАСТІ ДІЯТИМУТЬ ГПВ (message_id 2553)
1.1: 05:30 – 10:30,1.1: 05:30 – 10:30
1.2: 15:00 – 20:00,1.2: 15:00 – 20:00
2.1: 10:30 – 15:30,2.1: 10:30 – 15:30
2.2: 10:30 – 15:30,2.2: 10:30 – 15:30
"3.1: 06:30 – 11:00, 15:00 – 20:00","3.1: 06:30 – 11:00, 15:00 – 20:00"
"3.2: 06:00 – 11:00, 15:00 – 19:30","3.2: 06:00 – 11:00, 15:00 – 19:30"
"4.1: 10:30 – 15:30, 19:30 – 23:30","4.1: 10:30 – 15:30, 19:30 – 23:30"
"4.2: 10:30 – 15:30, 19:30 – 23:30","4.2: 10:30 – 15:30, 19:30 – 23:30"
5.1: 15:00 – 20:00,5.1: 15:00 – 20:00
"5.2: 08:30 – 11:30, 15:00 – 20:00","5.2: 08:30 – 11:30, 15:00 – 20:00"
6.1: 19:30 – 24:00,6.1: 19:30 – 24:00
"6.2: 13:30 – 15:30, 19:30 – 22:30","6.2: 13:30 – 15:30, 19:30 – 22:30"
,
ОНОВЛЕНО ГПВ НА 05 ГРУДНЯ (оновлено о 19:37),ОНОВЛЕНО ГПВ НА 05 ГРУДНЯ ПО ЗАПОРІЗЬКІЙ ОБЛАСТІ (message_id 2554)
"1.1: 05:30 – 08:00, 12:00 – 17:00, 21:00 – 24:00","1.1: 05:30 – 08:00, 12:00 – 17:00, 21:00 – 24:00"
"1.2: 06:30 – 08:00, 12:00 – 17:00, 21:00 – 22:30","1.2: 06:30 – 08:00, 12:00 – 17:00, 21:00 – 22:30"
"2.1: 07:30 – 12:30, 16:30 – 21:30","2.1: 07:30 – 12:30, 16:30 – 21:30"
"2.2: 07:30 – 12:30, 16:30 – 20:30","2.2: 07:30 – 12:30, 16:30 – 20:30"
3.1: 12:00 – 17:00,3.1: 12:00 – 17:00
3.2: 12:00 – 17:00,3.2: 12:00 – 17:00
"4.1: 07:30 – 12:30, 16:30 – 20:30","4.1: 07:30 – 12:30, 16:30 – 20:30"
"4.2:  07:30 – 12:30, 16:30 – 21:30","4.2: 07:30 – 12:30, 16:30 – 21:30"
"5.1: 05:30 – 08:00, 12:00 – 17:00, 21:00 – 22:30","5.1: 05:30 – 08:00, 12:00 – 17:00, 21:00 – 22:30"
"5.2: 05:30 – 08:00, 12:00 – 17:00","5.2: 05:30 – 08:00, 12:00 – 17:00"
"6.1: 07:30 – 12:30, 16:30 – 19:30","6.1: 07:30 – 12:30, 16:30 – 19:30"
"6.2: 09:30 – 12:30, 16:30 – 21:30","6.2: 09:30 – 12:30, 16:30 – 21:30"
,
